Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1769839074.796	     0.006	0	48894	0	0	./sort1 txt.d/sorted10000.txt
9	:	1769839074.811	     0.000	0	23893	0	0	./sort1 txt.d/sorted5000.txt
10	:	1769839074.818	     0.005	0	48894	0	0	./sort2 txt.d/random10000.txt
8	:	1769839074.799	     0.032	0	288894	0	0	./sort1 txt.d/sorted50000.txt
12	:	1769839074.836	     0.008	0	23893	0	0	./sort2 txt.d/random5000.txt
13	:	1769839074.848	     0.009	0	48894	0	0	./sort2 txt.d/reversed10000.txt
11	:	1769839074.832	     0.033	0	288894	0	0	./sort2 txt.d/random50000.txt
15	:	1769839074.871	     0.004	0	23893	0	0	./sort2 txt.d/reversed5000.txt
3	:	1769839074.783	     0.098	0	23893	0	0	./sort1 txt.d/random5000.txt
16	:	1769839074.880	     0.007	0	48894	0	0	./sort2 txt.d/sorted10000.txt
14	:	1769839074.862	     0.035	0	288894	0	0	./sort2 txt.d/reversed50000.txt
18	:	1769839074.892	     0.009	0	23893	0	0	./sort2 txt.d/sorted5000.txt
6	:	1769839074.792	     0.113	0	23893	0	0	./sort1 txt.d/reversed5000.txt
17	:	1769839074.885	     0.029	0	288894	0	0	./sort2 txt.d/sorted50000.txt
21	:	1769839074.909	     0.052	0	23893	0	0	./sort3 txt.d/random5000.txt
19	:	1769839074.901	     0.177	0	48894	0	0	./sort3 txt.d/random10000.txt
22	:	1769839074.920	     0.199	0	48894	0	0	./sort3 txt.d/reversed10000.txt
24	:	1769839075.086	     0.051	0	23893	0	0	./sort3 txt.d/reversed5000.txt
1	:	1769839074.778	     0.431	0	48894	0	0	./sort1 txt.d/random10000.txt
4	:	1769839074.786	     0.427	0	48894	0	0	./sort1 txt.d/reversed10000.txt
27	:	1769839075.214	     0.051	0	23893	0	0	./sort3 txt.d/sorted5000.txt
25	:	1769839075.123	     0.182	0	48894	0	0	./sort3 txt.d/sorted10000.txt
20	:	1769839074.905	     3.190	0	288894	0	0	./sort3 txt.d/random50000.txt
23	:	1769839074.966	     3.801	0	288894	0	0	./sort3 txt.d/reversed50000.txt
26	:	1769839075.143	     3.673	0	288894	0	0	./sort3 txt.d/sorted50000.txt
5	:	1769839074.789	     6.075	0	288894	0	0	./sort1 txt.d/reversed50000.txt
2	:	1769839074.780	     8.825	0	288894	0	0	./sort1 txt.d/random50000.txt
